== Status ==
Current time: 2022-05-15 02:38:20 (running for 01:25:30.55)
Memory usage on this node: 12.2/15.9 GiB
Using AsyncHyperBand: num_stopped=100
Bracket: Iter 64.000: -0.19752756536006927 | Iter 32.000: -0.2563137107491493 | Iter 16.000: -0.32084514427185057 | Iter 8.000: -0.5145277217626572 | Iter 4.000: -0.5625903210639953 | Iter 2.000: -0.6340417296886445 | Iter 1.000: -0.6643440895080567
Resources requested: 0/12 CPUs, 0/1 GPUs, 0.0/5.16 GiB heap, 0.0/2.58 GiB objects
Result logdir: C:\Users\Marcu\ray_results\DEFAULT_2022-05-15_01-12-49
Number of trials: 100/100 (100 TERMINATED)
+---------------------+------------+-----------------+------+------+-------------+---------+--------------+-------------+-----------+-----------+------------+----------------------+
| Trial name          | status     | loc             |   l1 |   l2 |          lr |   kernw |   kernlayers | weight      |   dropout |      loss |   accuracy |   training_iteration |
| DEFAULT_5f8d0_00027 | TERMINATED | 127.0.0.1:11972 |   32 |    8 | 0.000107368 |      70 |            6 | [1.0, 20.0] |       0.6 |  0.748653 |       0.5  |                    1 |
| DEFAULT_5f8d0_00028 | TERMINATED | 127.0.0.1:38244 |   32 |   16 | 0.0163216   |      90 |           10 | [1.0, 5.0]  |       0.5 |  0.614223 |       0.5  |                    4 |
| DEFAULT_5f8d0_00029 | TERMINATED | 127.0.0.1:36952 |  128 |  256 | 0.0362111   |      90 |           10 | [1.0, 20.0] |       0.6 |  1.87159  |       0.5  |                    2 |
| DEFAULT_5f8d0_00030 | TERMINATED | 127.0.0.1:32060 |   64 |    4 | 0.0336557   |      50 |           12 | [1.0, 10.0] |       0.4 |  0.320845 |       0.5  |                   16 |
| DEFAULT_5f8d0_00031 | TERMINATED | 127.0.0.1:33824 |  128 |  256 | 0.000201493 |      70 |            8 | [1.0, 5.0]  |       0.5 |  0.663027 |       0.5  |                    2 |
| DEFAULT_5f8d0_00032 | TERMINATED | 127.0.0.1:37100 |    8 |  256 | 5.94272e-05 |      70 |            6 | [1.0, 5.0]  |       0.6 |  0.703092 |       0.5  |                    1 |
| DEFAULT_5f8d0_00033 | TERMINATED | 127.0.0.1:34308 |   16 |    8 | 0.000504212 |      70 |           12 | [1.0, 15.0] |       0.6 |  0.531499 |       0.5  |                    8 |
| DEFAULT_5f8d0_00034 | TERMINATED | 127.0.0.1:43828 |   16 |  256 | 2.83502e-05 |      80 |           12 | [1.0, 10.0] |       0.4 |  0.719348 |       0.5  |                    1 |
| DEFAULT_5f8d0_00035 | TERMINATED | 127.0.0.1:42892 |  128 |   64 | 0.000382375 |      60 |           10 | [1.0, 20.0] |       0.5 |  0.659558 |       0.5  |                    2 |
| DEFAULT_5f8d0_00036 | TERMINATED | 127.0.0.1:40840 |    4 |  128 | 0.0330321   |      70 |            6 | [1.0, 10.0] |       0.6 | 34.8769   |       0.5  |                    2 |
